20:13:38;6560;102;860587;
20:13:40;9152;143;938448;
20:13:42;8992;140;987544;
20:13:44;8288;129;929233;
20:13:46;9824;153;858529;
20:13:48;7200;112;1095733;
20:13:50;7776;121;1054925;
20:13:52;7328;114;1076039;
20:13:54;9120;142;890408;
20:13:56;10272;160;852894;
20:13:58;9952;155;770422;
20:14:00;7520;117;1105709;
20:14:02;8832;138;946892;
20:14:04;8000;125;1007964;
20:14:06;7904;123;1041123;
20:14:08;7008;109;1197696;
20:14:10;7744;121;1055238;
20:14:12;9728;152;900560;
20:14:14;7808;122;985594;
20:14:16;8992;140;773147;
20:14:18;5824;91;809869;
20:14:20;0;0;0;
--scale--
20:14:22;8800;137;2475555;
20:14:24;9216;144;788068;
20:14:26;9120;142;997154;
20:14:28;15744;246;528952;
20:14:30;10848;169;629237;
20:14:32;11616;181;780302;
20:14:34;12224;191;598763;
20:14:36;12000;187;749710;
20:14:38;13632;213;579345;
20:14:40;13536;211;687237;
20:14:42;12704;198;596447;
20:14:44;13600;212;623972;
20:14:46;12608;197;574734;
20:14:48;13760;215;660407;
20:14:50;14304;223;576029;
20:14:52;9728;152;677226;
20:14:54;12320;192;745923;
20:14:56;12896;201;702508;
20:14:58;12608;197;571799;
20:15:00;13824;216;706608;
20:15:02;12160;190;563699;
20:15:04;12032;188;668746;
20:15:06;12320;192;643516;
20:15:08;11616;181;718403;
20:15:10;13280;207;613783;
20:15:12;14592;228;608115;
20:15:14;13760;215;604377;
