20:29:04;5824;91;825417;
20:29:06;5824;91;936525;
20:29:08;5344;83;1549243;
20:29:10;6208;97;1348538;
20:29:12;5568;87;711958;
20:29:14;6624;103;2041560;
20:29:16;7040;110;1367695;
20:29:18;6240;97;911572;
20:29:20;6112;95;1355091;
20:29:22;7296;114;1175364;
20:29:24;6720;105;1143114;
20:29:26;6080;95;1175349;
20:29:28;6624;103;1560181;
20:29:30;6496;101;1184970;
20:29:32;6336;99;1105041;
20:29:34;5568;87;1946906;
20:29:36;6592;103;1236024;
20:29:38;5888;92;1146035;
20:29:40;6528;102;1162459;
20:29:42;6752;105;1369976;
20:29:44;6272;98;1190310;
20:29:46;7200;112;1186429;
20:29:48;5792;90;1090940;
20:29:50;3712;58;1600296;
--scale--
20:29:52;5024;78;1468742;
20:29:54;7424;116;2123927;
20:29:56;6880;107;960798;
20:29:58;4416;69;1584297;
20:30:00;3712;58;1936228;
20:30:02;4320;67;2341690;
20:30:04;5088;79;1779792;
20:30:06;4224;66;1726775;
20:30:08;4640;72;1546732;
20:30:10;4480;70;717937;
20:30:12;3360;52;2386793;
20:30:14;4160;65;2677271;
20:30:16;4480;70;1315432;
20:30:18;4192;65;2622589;
20:30:20;4096;64;1148908;
20:30:22;3680;57;2150852;
20:30:24;2848;44;3526523;
20:30:26;2720;42;1030766;
20:30:28;4032;63;3494310;
20:30:30;3648;57;2517020;
20:30:32;2912;45;1340295;
20:30:34;4064;63;2657689;
20:30:36;3584;56;2476388;
20:30:38;3328;52;1376088;
20:30:40;4256;66;2956788;
20:30:42;3552;55;1666214;
20:30:44;4256;66;1552053;
20:30:46;4000;62;3256241;
20:30:48;3296;51;708113;
